;;2018;2018;2018;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024;2024;2024;2024;2024
;;Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100)
;;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas
01. Centro;016. Sol;5.035,60;0;5.129,22;155,81;0;158,71;100;0;101,86;5.293,10;0;5.308,95;157,27;0;152,85;100;0;100,3;9.215,34;0;9.249,31;264,69;0;258,94;100;0;100,37;5.113,98;0;5.124,68;140,43;0;140,45;100;0;100,21;5.054,50;0;5.085,19;129,59;0;128,22;100;0;100,61;5.687,75;0;5.727,20;140,08;0;140,49;100;0;100,69;7.043,79;0;7.181,43;155,61;0;158,03;100;0;101,95
02. Arganzuela;02. Arganzuela;3.693,97;3.670,25;3.698,09;114,3;113,56;114,43;100;99,36;100,11;3.927,78;3.659,78;3.970,19;116,7;125,61;114,31;100;93,18;101,08;4.214,21;4.436,33;3.997,83;121,04;139,66;111,92;100;105,27;94,87;4.210,73;4.948,77;3.894,94;115,63;137,02;106,75;100;117,53;92,5;4.489,71;5.226,05;4.363,57;115,11;147,28;110,02;100;116,4;97,19;4.556,68;5.462,83;4.462,14;112,22;137,35;109,46;100;119,89;97,93;5.406,62;6.073,48;4.837,52;119,44;136,71;106,45;100;112,33;89,47
02. Arganzuela;021. Imperial;3.380,81;3.320,00;3.402,02;104,61;102,73;105,27;100;98,2;100,63;3.791,71;3.434,16;3.866,36;112,66;117,87;111,32;100;90,57;101,97;3.325,56;2.697,19;3.812,72;95,52;84,91;106,74;100;81,1;114,65;3.561,44;3.174,58;3.837,21;97,8;87,89;105,17;100;89,14;107,74;3.953,99;3.683,57;4.062,56;101,37;103,81;102,43;100;93,16;102,75;4.351,64;0;4.348,05;107,17;0;106,66;100;0;99,92;5.720,86;5.980,87;4.779,25;126,38;134,63;105,17;100;104,54;83,54
02. Arganzuela;022. Acacias;3.940,92;0;3.810,39;121,94;0;117,9;100;0;96,69;4.646,78;0;4.498,48;138,07;0;129,52;100;0;96,81;4.276,75;4.033,50;4.425,40;122,84;126,98;123,89;100;94,31;103,48;4.195,41;4.054,00;4.233,28;115,21;112,24;116,02;100;96,63;100,9;5.292,83;6.968,75;4.360,66;135,7;196,39;109,95;100;131,66;82,39;4.699,92;0;4.653,80;115,75;0;114,16;100;0;99,02;4.860,58;0;4.822,66;107,38;0;106,13;100;0;99,22
02. Arganzuela;023. Chopera;3.429,29;3.375,07;3.449,53;106,11;104,43;106,74;100;98,42;100,59;3.643,17;0;3.706,90;108,25;0;106,73;100;0;101,75;3.830,66;0;3.843,18;110,03;0;107,59;100;0;100,33;3.553,34;0;3.551,00;97,58;0;97,32;100;0;99,93;4.207,17;0;4.198,35;107,87;0;105,86;100;0;99,79;4.173,01;0;4.175,28;102,77;0;102,42;100;0;100,05;4.608,71;5.871,14;4.461,43;101,81;132,16;98,18;100;127,39;96,8
02. Arganzuela;024. Legazpi;4.166,91;3.974,54;4.208,88;128,93;122,98;130,23;100;95,38;101,01;4.608,48;0;4.572,26;136,93;0;131,64;100;0;99,21;5.493,48;5.996,37;4.400,98;157,79;188,77;123,21;100;109,15;80,11;4.375,25;5.013,52;4.276,10;120,15;138,81;117,19;100;114,59;97,73;4.768,29;4.533,80;4.815,98;122,25;127,77;121,43;100;95,08;101;5.137,80;6.423,07;4.541,91;126,54;161,49;111,41;100;125,02;88,4;5.125,54;5.201,42;5.106,08;113,23;117,08;112,36;100;101,48;99,62
02. Arganzuela;025. Delicias;3.645,75;3.610,01;3.648,51;112,81;111,7;112,89;100;99,02;100,08;3.845,47;3.297,97;4.016,56;114,26;113,19;115,64;100;85,76;104,45;4.516,38;4.880,35;3.763,85;129,72;153,64;105,37;100;108,06;83,34;3.898,72;4.604,14;3.783,23;107,06;127,47;103,69;100;118,09;97,04;4.376,40;3.735,83;4.418,29;112,2;105,28;111,4;100;85,36;100,96;4.338,14;0;4.354,17;106,84;0;106,81;100;0;100,37;4.743,70;0;4.750,23;104,79;0;104,53;100;0;100,14
02. Arganzuela;026. Palos de la Frontera;3.811,33;4.585,78;3.766,91;117,93;141,89;116,56;100;120,32;98,83;3.862,74;4.491,46;3.817,67;114,77;154,16;109,92;100;116,28;98,83;4.074,57;0;4.114,66;117,03;0;115,19;100;0;100,98;3.945,48;0;3.906,33;108,35;0;107,06;100;0;99,01;4.359,85;4.811,79;4.322,70;111,78;135,61;108,99;100;110,37;99,15;4.640,72;4.764,36;4.633,47;114,29;119,79;113,66;100;102,66;99,84;5.090,81;4.995,88;5.113,68;112,46;112,45;112,53;100;98,14;100,45
02. Arganzuela;027. Atocha;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;4.168,55;4.178,45;0;119,73;131,54;0;100;3,78;0;5.742,49;5.759,73;0;157,69;159,47;0;100;4,38;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;6.501,60;6.500,68;0;143,63;146,33;0;100;3,23;0
03. Retiro;03. Retiro;4.444,42;3.989,25;4.457,96;137,52;123,44;137,94;100;89,76;100,3;4.864,84;4.174,88;4.939,81;144,54;143,29;142,22;100;85,82;101,54;4.759,56;4.831,67;4.757,93;136,71;152,11;133,2;100;101,52;99,97;4.818,16;4.956,86;4.816,68;132,31;137,24;132,01;100;102,88;99,97;5.284,27;3.898,17;5.301,46;135,48;109,86;133,67;100;73,77;100,33;5.501,02;4.344,75;5.504,72;135,48;109,24;135,03;100;78,98;100,07;6.278,37;6.538,36;6.274,77;138,7;147,17;138,08;100;104,14;99,94
