;;2018;2018;2018;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024;2024;2024;2024;2024
;;Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100)
;;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas
05. Chamartín;05. Chamartín;4.708,52;4.270,04;4.776,80;145,69;132,12;147,8;100;90,69;101,45;5.111,43;4.629,58;5.153,65;151,87;158,9;148,38;100;90,57;100,83;5.148,46;5.253,88;5.139,70;147,88;165,4;143,89;100;102,05;99,83;5.122,90;4.977,24;5.140,58;140,68;137,8;140,89;100;97,16;100,35;5.616,88;7.199,32;5.497,12;144,01;202,89;138,6;100;128,17;97,87;5.860,95;6.888,34;5.770,90;144,35;173,19;141,56;100;117,53;98,46;6.401,56;6.667,14;6.385,60;141,42;150,07;140,52;100;104,15;99,75
05. Chamartín;051. El Viso;5.506,71;0;5.563,31;170,39;0;172,14;100;0;101,03;6.413,03;0;6.346,50;190,54;0;182,72;100;0;98,96;6.861,72;6.827,79;6.868,27;197,08;214,95;192,28;100;99,51;100,1;6.888,17;0;6.818,84;189,15;0;186,88;100;0;98,99;7.061,58;0;6.817,17;181,05;0;171,89;100;0;96,54;7.235,62;0;7.154,26;178,2;0;175,5;100;0;98,88;7.883,12;0;7.892,74;174,15;0;173,69;100;0;100,12
05. Chamartín;052. Prosperidad;4.054,69;3.900,82;4.146,74;125,46;120,7;128,31;100;96,21;102,27;4.406,30;4.363,84;4.418,18;130,92;149,78;127,2;100;99,04;100,27;4.334,71;4.383,84;4.326,63;124,5;138,01;121,13;100;101,13;99,81;4.393,45;4.676,97;4.297,99;120,65;129,49;117,79;100;106,45;97,83;5.053,89;6.638,48;4.717,01;129,57;187,08;118,93;100;131,35;93,33;5.010,83;6.115,56;4.883,77;123,41;153,76;119,8;100;122,05;97,46;5.499,09;5.852,09;5.461,27;121,48;131,73;120,18;100;106,42;99,31
05. Chamartín;053. Ciudad Jardín;4.215,44;0;4.234,09;130,43;0;131,01;100;0;100,44;4.400,14;0;4.400,14;130,74;0;126,69;100;0;100;4.464,58;0;4.464,58;128,23;0;124,99;100;0;100;4.861,42;0;4.861,42;133,5;0;133,24;100;0;100;5.191,32;0;5.223,91;133,1;0;131,71;100;0;100,63;5.627,01;6.096,25;5.556,87;138,58;153,27;136,31;100;108,34;98,75;6.705,35;0;6.567,04;148,13;0;144,51;100;0;97,94
05. Chamartín;054. Hispanoamérica;5.035,74;0;4.961,22;155,82;0;153,51;100;0;98,52;5.469,64;0;5.488,27;162,51;0;158,01;100;0;100,34;5.158,11;0;5.146,06;148,15;0;144,07;100;0;99,77;5.456,99;0;5.439,15;149,85;0;149,07;100;0;99,67;6.229,68;0;6.237,32;159,72;0;157,27;100;0;100,12;6.322,94;0;6.266,28;155,72;0;153,71;100;0;99,1;6.570,69;0;6.510,00;145,16;0;143,26;100;0;99,08
05. Chamartín;055. Nueva España;5.719,41;0;5.739,83;176,97;0;177,6;100;0;100,36;6.325,86;0;6.382,51;187,95;0;183,76;100;0;100,9;6.351,07;0;6.373,44;182,42;0;178,43;100;0;100,35;6.172,91;0;6.172,91;169,51;0;169,18;100;0;100;5.660,08;0;5.551,71;145,12;0;139,98;100;0;98,09;7.026,52;9.151,52;6.748,63;173,05;230,09;165,55;100;130,24;96,05;7.252,24;0;7.256,37;160,21;0;159,68;100;0;100,06
05. Chamartín;056. Castilla;4.500,53;5.789,30;4.146,48;139,26;179,13;128,3;100;128,64;92,13;4.042,11;0;4.050,55;120,1;0;116,62;100;0;100,21;4.187,83;0;4.170,64;120,28;0;116,76;100;0;99,59;4.105,89;0;4.009,94;112,75;0;109,9;100;0;97,66;5.098,72;0;4.926,15;130,72;0;124,21;100;0;96,62;4.596,60;0;4.631,24;113,21;0;113,61;100;0;100,75;5.429,22;0;5.469,49;119,94;0;120,36;100;0;100,74
06. Tetuán;06. Tetuán;3.325,98;3.173,14;3.339,84;102,91;98,18;103,34;100;95,4;100,42;3.661,17;3.403,65;3.690,05;108,78;116,82;106,24;100;92,97;100,79;3.648,00;3.523,22;3.672,79;104,78;110,92;102,82;100;96,58;100,68;3.756,93;3.660,84;3.768,82;103,17;101,36;103,29;100;97,44;100,32;3.955,42;3.671,96;3.997,48;101,41;103,48;100,79;100;92,83;101,06;4.677,48;5.824,83;4.292,22;115,2;146,45;105,29;100;124,53;91,76;4.755,80;4.978,71;4.697,83;105,06;112,07;103,38;100;104,69;98,78
06. Tetuán;061. Bellas Vistas;3.097,95;0;3.081,70;95,86;0;95,35;100;0;99,48;3.427,00;0;3.427,00;101,82;0;98,67;100;0;100;3.446,77;0;3.446,77;99;0;96,49;100;0;100;3.523,47;3.946,01;3.469,09;96,76;109,25;95,08;100;111,99;98,46;3.771,22;4.620,90;3.704,01;96,69;130,23;93,39;100;122,53;98,22;4.005,91;0;3.996,88;98,66;0;98,04;100;0;99,77;4.355,09;4.583,26;4.332,00;96,21;103,17;95,33;100;105,24;99,47
06. Tetuán;062. Cuatro Caminos;4.067,98;0;4.080,04;125,87;0;126,24;100;0;100,3;4.440,52;0;4.451,05;131,94;0;128,15;100;0;100,24;4.412,33;5.649,54;4.239,70;126,73;177,85;118,69;100;128,04;96,09;4.397,06;0;4.404,85;120,75;0;120,72;100;0;100,18;4.802,46;0;4.777,68;123,13;0;120,46;100;0;99,48;5.096,26;4.996,68;5.101,26;125,51;125,63;125,14;100;98,05;100,1;5.479,99;5.521,77;5.473,68;121,06;124,29;120,45;100;100,76;99,88
06. Tetuán;063. Castillejos;4.048,17;0;4.043,61;125,26;0;125,12;100;0;99,89;4.448,78;0;4.346,92;132,18;0;125,15;100;0;97,71;4.480,50;0;4.480,50;128,69;0;125,43;100;0;100;4.288,21;0;4.288,21;117,76;0;117,53;100;0;100;4.847,93;0;4.847,93;124,29;0;122,23;100;0;100;4.949,86;0;4.937,55;121,91;0;121,12;100;0;99,75;5.472,11;5.494,71;5.470,01;120,89;123,68;120,37;100;100,41;99,96
06. Tetuán;064. Almenara;3.066,02;3.218,87;3.016,85;94,87;99,6;93,35;100;104,99;98,4;3.203,90;2.900,34;3.274,90;95,19;99,55;94,29;100;90,53;102,22;2.802,31;2.134,99;3.175,22;80,49;67,21;88,89;100;76,19;113,31;3.291,43;3.133,72;3.318,43;90,38;86,76;90,95;100;95,21;100,82;3.194,29;2.688,47;3.508,39;81,9;75,77;88,46;100;84,16;109,83;4.046,93;5.016,87;3.854,48;99,67;126,14;94,55;100;123,97;95,24;4.385,78;4.710,59;4.157,45;96,89;106,03;91,49;100;107,41;94,79
06. Tetuán;065. Valdeacederas;2.658,04;3.004,12;2.586,16;82,24;92,95;80,02;100;113,02;97,3;3.049,99;3.133,28;3.019,38;90,62;107,54;86,93;100;102,73;99;3.139,79;3.392,20;2.999,42;90,18;106,79;83,97;100;108,04;95,53;3.331,40;3.637,26;3.222,52;91,48;100,7;88,32;100;109,18;96,73;3.404,75;3.853,72;3.228,78;87,29;108,61;81,41;100;113,19;94,83;5.060,01;6.034,56;3.582,45;124,62;151,72;87,88;100;119,26;70,8;4.452,47;5.045,39;4.129,28;98,36;113,57;90,87;100;113,32;92,74
06. Tetuán;066. Berruguete;2.817,63;2.798,88;2.819,78;87,18;86,6;87,25;100;99,33;100,08;2.989,74;3.320,62;2.944,79;88,83;113,97;84,78;100;111,07;98,5;3.273,71;3.142,67;3.292,32;94,03;98,93;92,17;100;96;100,57;3.302,37;3.712,06;3.225,35;90,69;102,78;88,4;100;112,41;97,67;3.310,06;3.933,98;3.217,46;84,86;110,87;81,12;100;118,85;97,2;3.674,61;4.518,40;3.541,83;90,5;113,6;86,88;100;122,96;96,39;4.282,90;4.767,53;4.124,47;94,62;107,31;90,76;100;111,32;96,3
07. Chamberí;07. Chamberí;5.202,37;5.912,31;5.170,16;160,97;182,94;159,97;100;113,65;99,38;5.538,86;4.451,73;5.551,37;164,57;152,79;159,83;100;80,37;100,23;5.451,36;4.708,54;5.471,59;156,58;148,23;153,18;100;86,37;100,37;5.701,59;7.302,88;5.645,58;156,57;202,2;154,73;100;128,08;99,02;6.188,49;7.162,88;6.158,85;158,66;201,86;155,29;100;115,75;99,52;6.789,79;7.872,99;6.690,99;167,22;197,95;164,13;100;115,95;98,54;7.150,33;8.721,58;7.095,43;157,96;196,32;156,14;100;121,97;99,23
07. Chamberí;071. Gaztambide;4.831,87;0;4.811,86;149,51;0;148,89;100;0;99,59;5.493,24;0;5.501,27;163,22;0;158,39;100;0;100,15;5.086,21;0;5.088,22;146,09;0;142,45;100;0;100,04;5.174,60;0;5.179,95;142,1;0;141,97;100;0;100,1;5.605,32;0;5.583,08;143,71;0;140,77;100;0;99,6;6.618,75;0;6.602,12;163,01;0;161,95;100;0;99,75;6.657,11;9.568,34;6.413,73;147,06;215,38;141,14;100;143,73;96,34
07. Chamberí;072. Arapiles;5.091,47;4.708,93;5.114,62;157,54;145,7;158,26;100;92,49;100,45;5.661,02;0;5.657,18;168,2;0;162,88;100;0;99,93;5.304,27;0;5.301,33;152,35;0;148,41;100;0;99,94;5.357,23;0;5.357,23;147,11;0;146,82;100;0;100;5.964,52;0;5.942,30;152,92;0;149,83;100;0;99,63;6.431,52;6.931,13;6.391,17;158,4;174,27;156,78;100;107,77;99,37;6.654,11;0;6.654,11;147;0;146,43;100;0;100
07. Chamberí;073. Trafalgar;5.201,14;0;5.209,03;160,93;0;161,18;100;0;100,15;5.516,80;0;5.520,79;163,92;0;158,95;100;0;100,07;5.626,61;0;5.622,56;161,61;0;157,41;100;0;99,93;5.476,80;0;5.457,06;150,4;0;149,56;100;0;99,64;6.215,88;0;6.217,25;159,37;0;156,76;100;0;100,02;6.628,31;0;6.628,31;163,24;0;162,59;100;0;100;7.322,66;0;7.325,93;161,77;0;161,21;100;0;100,04
07. Chamberí;074. Almagro;6.257,77;0;6.254,67;193,63;0;193,53;100;0;99,95;6.345,97;0;6.367,31;188,55;0;183,32;100;0;100,34;6.778,41;0;6.787,95;194,69;0;190,03;100;0;100,14;7.373,38;0;7.282,15;202,48;0;199,58;100;0;98,76;7.595,59;0;7.534,38;194,74;0;189,97;100;0;99,19;8.249,90;8.990,44;8.157,33;203,18;226,04;200,1;100;108,98;98,88;9.287,64;0;9.274,83;205,18;0;204,1;100;0;99,86
07. Chamberí;075. Ríos Rosas;5.277,92;6.456,39;5.110,11;163,31;199,77;158,12;100;122,33;96,82;5.421,65;0;5.449,13;161,09;0;156,89;100;0;100,51;5.240,96;0;5.301,41;150,53;0;148,41;100;0;101,15;5.782,02;7.116,71;5.588,05;158,78;197,04;153,15;100;123,08;96,65;6.238,76;6.648,32;6.178,83;159,95;187,36;155,79;100;106,56;99,04;6.592,80;8.312,20;6.309,13;162,37;208,99;154,76;100;126,08;95,7;6.792,64;0;6.728,85;150,06;0;148,07;100;0;99,06
07. Chamberí;076. Vallehermoso;4.564,21;0;4.564,21;141,23;0;141,23;100;0;100;4.739,14;0;4.768,92;140,81;0;137,3;100;0;100,63;4.882,43;0;4.918,48;140,23;0;137,69;100;0;100,74;5.044,46;0;5.069,68;138,52;0;138,94;100;0;100,5;5.577,05;0;5.577,05;142,99;0;140,62;100;0;100;6.090,19;6.825,44;5.926,28;149,99;171,61;145,37;100;112,07;97,31;5.997,21;0;5.965,43;132,49;0;131,27;100;0;99,47
08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;3.311,77;3.313,84;3.310,43;102,47;102,54;102,43;100;100,06;99,96;3.532,33;3.473,77;3.572,29;104,95;119,23;102,85;100;98,34;101,13;3.704,16;3.880,00;3.609,65;106,39;122,15;101,05;100;104,75;97,45;4.037,31;4.533,67;3.751,29;110,87;125,52;102,81;100;112,29;92,92;4.054,52;4.186,43;4.001,37;103,95;117,98;100,89;100;103,25;98,69;4.480,81;5.287,45;4.097,63;110,35;132,94;100,52;100;118;91,45;4.594,85;5.114,73;4.388,60;101,51;115,13;96,57;100;111,31;95,51
08. Fuencarral-El Pardo;081. El Pardo;2.430,23;0;2.430,23;75,2;0;75,2;100;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;3.021,76;0;3.021,76;82,98;0;82,82;100;0;2,27;3.326,83;0;3.362,34;85,29;0;84,78;100;0;2,17;3.282,62;0;3.282,62;80,85;0;80,52;100;0;1,98;3.124,98;0;3.124,98;69,04;0;68,77;100;0;1,52
08. Fuencarral-El Pardo;082. Fuentelarreina;3.580,61;0;3.580,61;110,79;0;110,79;100;0;100;3.762,46;0;3.762,46;111,79;0;108,33;100;0;100;4.204,21;0;4.411,07;120,75;0;123,49;100;0;104,92;3.740,43;0;3.695,88;102,71;0;101,29;100;0;98,81;4.274,97;4.052,17;4.683,44;109,6;114,2;118,09;100;94,79;109,55;4.462,11;0;4.439,70;109,89;0;108,91;100;0;99,5;4.597,66;0;4.597,66;101,57;0;101,17;100;0;100
08. Fuencarral-El Pardo;083. Peñagrande;3.296,22;3.816,65;3.119,41;101,99;118,09;96,52;100;115,79;94,64;3.449,96;2.817,05;3.504,14;102,51;96,69;100,89;100;81,65;101,57;3.371,99;3.230,95;3.421,95;96,85;101,71;95,8;100;95,82;101,48;3.554,93;3.402,40;3.589,43;97,62;94,2;98,37;100;95,71;100,97;3.992,90;4.378,68;3.912,74;102,37;123,4;98,65;100;109,66;97,99;4.013,27;3.324,99;4.061,23;98,84;83,6;99,62;100;82,85;101,2;4.647,79;6.197,95;4.295,26;102,68;139,51;94,52;100;133,35;92,42
08. Fuencarral-El Pardo;084. Pilar;3.162,58;3.276,47;3.133,02;97,86;101,38;96,94;100;103,6;99,07;3.435,90;3.340,72;3.475,77;102,09;114,66;100,07;100;97,23;101,16;3.347,02;3.252,93;3.368,82;96,13;102,41;94,31;100;97,19;100,65;3.436,49;3.379,54;3.455,67;94,37;93,57;94,71;100;98,34;100,56;3.788,20;3.681,61;3.818,93;97,12;103,75;96,29;100;97,19;100,81;3.957,97;3.791,89;4.022,55;97,48;95,34;98,67;100;95,8;101,63;4.318,47;4.198,02;4.389,39;95,4;94,5;96,59;100;97,21;101,64
08. Fuencarral-El Pardo;085. La Paz;3.371,77;0;3.420,08;104,33;0;105,82;100;0;101,43;3.643,28;0;3.674,34;108,25;0;105,79;100;0;100,85;3.377,56;0;3.403,29;97,01;0;95,28;100;0;100,76;3.672,89;0;3.680,06;100,86;0;100,86;100;0;100,2;3.969,93;0;3.981,44;101,78;0;100,39;100;0;100,29;3.800,94;0;3.818,86;93,61;0;93,68;100;0;100,47;4.250,25;4.190,75;4.268,52;93,89;94,33;93,93;100;98,6;100,43
08. Fuencarral-El Pardo;086. Valverde;2.802,72;2.471,89;3.043,60;86,72;76,49;94,17;100;88,2;108,59;3.482,97;3.885,97;3.229,81;103,49;133,37;92,99;100;111,57;92,73;3.454,15;3.392,55;3.479,13;99,21;106,8;97,4;100;98,22;100,72;4.408,98;5.140,66;3.578,92;121,07;142,33;98,09;100;116,6;81,17;4.003,80;4.673,40;3.656,08;102,65;131,71;92,18;100;116,72;91,32;3.852,75;4.294,88;3.664,09;94,89;107,98;89,88;100;111,48;95,1;4.046,65;4.252,06;3.987,48;89,4;95,71;87,75;100;105,08;98,54
08. Fuencarral-El Pardo;087. Mirasierra;3.897,40;3.637,21;4.267,97;120,59;112,54;132,06;100;93,32;109,51;3.097,57;2.686,97;4.314,16;92,04;92,22;124,21;100;86,74;139,28;4.012,29;3.634,93;4.576,16;115,24;114,43;128,11;100;90,59;114,05;4.464,42;4.304,45;4.642,48;122,6;119,18;127,24;100;96,42;103,99;4.281,56;3.345,00;5.060,98;109,77;94,27;127,61;100;78,13;118,2;6.127,26;6.609,21;5.262,23;150,9;166,17;129,08;100;107,87;85,88;5.841,08;6.175,86;5.533,09;129,04;139,02;121,76;100;105,73;94,73
08. Fuencarral-El Pardo;088. El Goloso;4.000,59;3.841,54;5.007,87;123,79;118,86;154,95;100;96,02;125,18;5.244,35;5.401,74;4.848,94;155,82;185,4;139,61;100;103;92,46;5.197,95;5.308,78;4.813,72;149,3;167,13;134,76;100;102,13;92,61;5.364,90;5.221,05;5.592,29;147,32;144,56;153,27;100;97,32;104,24;5.565,28;5.412,74;5.842,12;142,68;152,54;147,3;100;97,26;104,97;5.731,10;5.647,05;5.904,01;141,15;141,98;144,83;100;98,53;103,02;5.882,25;5.822,40;5.942,10;129,95;131,06;130,76;100;98,98;101,02
09. Moncloa-Aravaca;09. Moncloa-Aravaca;3.754,98;3.916,07;3.686,56;116,19;121,17;114,07;100;104,29;98,18;3.952,35;4.338,93;3.873,82;117,43;148,92;111,53;100;109,78;98,01;3.961,30;4.636,92;3.757,32;113,78;145,98;105,19;100;117,06;94,85;4.451,38;6.622,68;3.910,39;122,24;183,36;107,17;100;148,78;87,85;4.512,62;5.499,05;4.326,81;115,7;154,97;109,09;100;121,86;95,88;4.643,00;5.394,90;4.541,03;114,35;135,64;111,39;100;116,19;97,8;5.088,08;5.718,04;4.938,41;112,4;128,71;108,67;100;112,38;97,06
09. Moncloa-Aravaca;091. Casa de Campo;3.179,25;3.291,18;3.136,31;98,37;101,84;97,04;100;103,52;98,65;3.339,15;0;3.419,56;99,21;0;98,45;100;0;102,41;3.420,86;0;3.472,16;98,26;0;97,2;100;0;101,5;3.758,61;3.209,65;3.895,85;103,21;88,87;106,77;100;85,39;103,65;4.134,56;4.080,53;4.148,06;106;115;104,59;100;98,69;100,33;4.250,27;3.877,62;4.331,28;104,68;97,49;106,25;100;91,23;101,91;4.444,80;4.454,27;4.442,58;98,19;100,26;97,76;100;100,21;99,95
09. Moncloa-Aravaca;092. Argüelles;4.496,86;4.678,20;4.444,09;139,14;144,75;137,51;100;104,03;98,83;4.784,89;4.879,82;4.755,73;142,17;167,49;136,92;100;101,98;99,39;5.166,85;5.180,39;5.161,60;148,4;163,08;144,5;100;100,26;99,9;6.065,12;7.578,00;4.817,79;166,55;209,81;132,04;100;124,94;79,43;5.856,06;6.643,97;5.535,97;150,14;187,24;139,58;100;113,45;94,53;5.730,29;5.681,51;5.746,39;141,13;142,85;140,96;100;99,15;100,28;6.425,21;6.875,25;6.212,14;141,94;154,76;136,7;100;107;96,68
09. Moncloa-Aravaca;093. Ciudad Universitaria;4.134,58;0;4.132,75;127,93;0;127,88;100;0;99,96;4.360,67;0;4.362,82;129,56;0;125,61;100;0;100,05;3.755,05;0;3.755,05;107,85;0;105,12;100;0;100;4.319,97;5.824,00;4.022,14;118,63;161,25;110,23;100;134,82;93,11;4.486,39;0;4.451,59;115,02;0;112,24;100;0;99,22;4.531,60;0;4.353,68;111,61;0;106,8;100;0;96,07;5.356,93;4.980,01;5.399,76;118,34;112,1;118,83;100;92,96;100,8
09. Moncloa-Aravaca;094. Valdezarza;2.872,01;3.206,91;2.793,62;88,87;99,23;86,44;100;111,66;97,27;3.187,92;3.810,93;3.035,11;94,72;130,8;87,38;100;119,54;95,21;3.224,64;4.156,63;2.899,27;92,62;130,86;81,17;100;128,9;89,91;3.004,08;0;2.974,95;82,49;0;81,53;100;0;99,03;3.238,76;3.734,54;3.174,25;83,04;105,25;80,03;100;115,31;98,01;3.303,39;0;3.304,36;81,36;0;81,06;100;0;100,03;3.683,14;0;3.663,10;81,37;0;80,61;100;0;99,46
09. Moncloa-Aravaca;095. Valdemarín;4.022,40;4.171,04;3.974,84;124,46;129,06;122,99;100;103,7;98,82;4.806,85;0;4.788,70;142,82;0;137,87;100;0;99,62;3.987,21;0;3.905,78;114,52;0;109,34;100;0;97,96;4.563,39;0;4.563,39;125,31;0;125,07;100;0;100;5.168,96;0;5.097,16;132,52;0;128,52;100;0;98,61;4.994,74;0;4.927,53;123,01;0;120,87;100;0;98,65;4.761,00;3.611,20;5.659,94;105,18;81,29;124,55;100;75,85;118,88
09. Moncloa-Aravaca;096. El Plantío;3.359,38;0;3.647,62;103,95;0;112,86;100;0;108,58;3.146,36;0;3.146,36;93,48;0;90,59;100;0;100;4.576,47;5.263,70;3.420,66;131,45;165,71;95,76;100;115,02;74,74;4.267,15;0;4.119,93;117,18;0;112,91;100;0;96,55;4.544,10;0;4.544,10;116,5;0;114,57;100;0;100;0;0;0;0;0;0;100;0;0;4.470,67;0;4.250,10;98,76;0;93,53;100;0;95,07
09. Moncloa-Aravaca;097. Aravaca;3.782,06;3.927,83;3.634,45;117,02;121,53;112,46;100;103,85;96,1;4.059,23;4.907,83;3.896,04;120,61;168,45;112,17;100;120,91;95,98;3.891,01;4.575,68;3.745,64;111,76;144,05;104,86;100;117,6;96,26;3.993,14;0;3.959,31;109,65;0;108,51;100;0;99,15;4.361,71;0;4.388,88;111,83;0;110,66;100;0;100,62;4.564,22;0;4.542,44;112,41;0;111,43;100;0;99,52;5.203,49;6.266,18;4.994,53;114,95;141,05;109,91;100;120,42;95,98
10. Latina;10. Latina;2.103,49;2.174,81;2.083,55;65,09;67,29;64,47;100;103,39;99,05;2.309,59;2.395,74;2.290,91;68,62;82,23;65,96;100;103,73;99,19;2.423,18;2.794,27;2.307,11;69,6;87,97;64,59;100;115,31;95,21;2.340,85;2.376,24;2.334,12;64,28;65,79;63,97;100;101,51;99,71;2.507,78;2.657,49;2.482,76;64,3;74,89;62,6;100;105,97;99;2.636,10;2.952,50;2.586,06;64,92;74,23;63,44;100;112;98,1;2.895,11;3.134,34;2.839,67;63,96;70,55;62,49;100;108,26;98,09
10. Latina;101. Los Cármenes;2.021,75;2.199,57;1.983,09;62,56;68,06;61,36;100;108,8;98,09;2.468,47;2.618,48;2.427,96;73,34;89,87;69,9;100;106,08;98,36;2.319,70;2.450,30;2.287,05;66,63;77,14;64,03;100;105,63;98,59;2.465,68;2.529,92;2.453,60;67,71;70,05;67,25;100;102,61;99,51;2.672,55;2.698,50;2.664,71;68,52;76,05;67,19;100;100,97;99,71;2.722,75;2.654,50;2.731,98;67,06;66,74;67,02;100;97,49;100,34;2.971,74;3.210,06;2.901,78;65,65;72,26;63,86;100;108,02;97,65
10. Latina;102. Puerta del Ángel;2.323,04;2.277,35;2.338,19;71,88;70,47;72,35;100;98,03;100,65;2.574,74;2.557,80;2.579,80;76,5;87,79;74,28;100;99,34;100,2;2.575,67;2.644,48;2.554,93;73,98;83,25;71,53;100;102,67;99,19;2.611,52;2.603,64;2.613,76;71,71;72,09;71,63;100;99,7;100,09;2.796,26;2.874,02;2.772,14;71,69;81;69,9;100;102,78;99,14;2.883,88;3.051,30;2.832,68;71,03;76,72;69,49;100;105,81;98,22;3.293,67;3.417,80;3.239,32;72,76;76,93;71,28;100;103,77;98,35
10. Latina;103. Lucero;2.099,75;2.262,57;2.066,87;64,97;70,01;63,95;100;107,75;98,43;2.230,17;2.167,77;2.239,02;66,26;74,4;64,46;100;97,2;100,4;2.334,97;2.517,12;2.298,54;67,07;79,24;64,35;100;107,8;98,44;2.294,92;2.422,60;2.274,44;63,02;67,07;62,34;100;105,56;99,11;2.408,06;2.434,32;2.404,30;61,74;68,6;60,62;100;101,09;99,84;2.608,14;3.382,33;2.456,39;64,23;85,04;60,26;100;129,68;94,18;2.852,81;3.017,42;2.819,89;63,02;67,92;62,05;100;105,77;98,85
10. Latina;104. Aluche;2.055,34;2.303,85;2.006,86;63,6;71,29;62,1;100;112,09;97,64;2.178,89;2.178,31;2.178,93;64,74;74,76;62,73;100;99,97;100;2.530,65;3.244,94;2.208,90;72,69;102,15;61,84;100;128,23;87,29;2.247,29;2.362,92;2.238,48;61,71;65,42;61,35;100;105,15;99,61;2.362,33;2.343,04;2.364,21;60,57;66,03;59,61;100;99,18;100,08;2.484,34;2.854,68;2.467,98;61,19;71,77;60,54;100;114,91;99,34;2.686,61;2.607,80;2.694,20;59,35;58,7;59,29;100;97,07;100,28
10. Latina;105. Campamento;1.951,44;1.887,50;1.970,37;60,38;58,4;60,97;100;96,72;100,97;2.078,73;2.260,16;2.035,68;61,76;77,57;58,61;100;108,73;97,93;2.156,49;2.214,33;2.143,19;61,94;69,71;60;100;102,68;99,38;2.159,81;2.033,81;2.187,80;59,31;56,31;59,96;100;94,17;101,3;2.379,49;2.795,16;2.320,11;61,01;78,77;58,5;100;117,47;97,5;2.502,57;2.450,35;2.509,89;61,63;61,61;61,57;100;97,91;100,29;2.819,36;3.174,03;2.700,20;62,28;71,45;59,42;100;112,58;95,77
10. Latina;106. Cuatro Vientos;2.834,24;0;0;87,7;0;0;100;0;0;3.199,68;0;3.192,11;95,07;0;91,9;100;0;99,76;3.125,68;0;3.152,85;89,78;0;88,27;100;0;100,87;3.086,26;0;3.097,03;84,75;0;84,88;100;0;100,35;3.092,20;0;3.097,49;79,28;0;78,1;100;0;100,17;3.375,62;0;3.394,52;83,14;0;83,27;100;0;100,56;3.502,69;0;3.502,69;77,38;0;77,08;100;0;100
10. Latina;107. Águilas;1.948,70;1.957,71;1.944,19;60,3;60,58;60,16;100;100,46;99,77;2.243,51;2.376,93;2.175,83;66,66;81,58;62,64;100;105,95;96,98;2.212,08;2.288,28;2.188,53;63,54;72,04;61,27;100;103,44;98,94;2.153,24;2.163,38;2.149,73;59,13;59,9;58,92;100;100,47;99,84;2.350,98;2.440,14;2.341,93;60,28;68,77;59,05;100;103,79;99,62;2.491,21;2.352,08;2.509,57;61,35;59,14;61,56;100;94,42;100,74;2.620,47;2.822,75;2.581,16;57,89;63,54;56,8;100;107,72;98,5
