E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.2. Transacciones de vivienda por Distrito y Barrio según Superficie construida
;;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024;2024
;;Total;Menos de 40 m2;40 a 60 m2;60 a 80 m2;80 a 100 m2;Más de 100 m2;Total;Menos de 40 m2;40 a 60 m2;60 a 80 m2;80 a 100 m2;Más de 100 m2;Total;Menos de 40 m2;40 a 60 m2;60 a 80 m2;80 a 100 m2;Más de 100 m2;Total;Menos de 40 m2;40 a 60 m2;60 a 80 m2;80 a 100 m2;Más de 100 m2;Total;Menos de 40 m2;40 a 60 m2;60 a 80 m2;80 a 100 m2;Más de 100 m2;Total;Menos de 40 m2;40 a 60 m2;60 a 80 m2;80 a 100 m2;Más de 100 m2;Total;Menos de 40 m2;40 a 60 m2;60 a 80 m2;80 a 100 m2;Más de 100 m2
Ciudad de Madrid;Ciudad de Madrid;38.330;3.431;9.718;9.633;6.262;9.286;34.754;3.158;9.079;8.374;5.525;8.618;25.332;2.040;5.929;6.254;4.335;6.774;35.436;2.751;8.570;8.599;6.239;9.277;40.723;3.437;10.318;10.155;6.665;10.148;35.035;3.160;9.469;8.798;5.916;7.692;37.479;3.542;9.837;9.392;6.223;8.485
03. Retiro;035. Los Jerónimos;116;2;9;13;5;87;80;1;7;6;4;62;65;0;1;2;1;61;94;3;4;6;4;77;130;3;3;11;7;106;82;0;9;7;0;66;132;1;8;11;13;99
03. Retiro;036. Niño Jesús;128;6;15;17;32;58;103;0;15;16;13;59;77;3;10;10;17;37;111;5;3;19;26;58;160;10;27;20;35;68;124;3;12;13;32;64;125;3;11;19;25;67
04. Salamanca;04. Salamanca;2.115;272;396;362;268;817;1.524;217;287;261;202;557;1.379;129;235;283;185;547;1.939;218;342;356;250;773;2.297;257;415;436;292;897;1.967;225;340;341;260;801;2.530;228;453;395;343;1.111
04. Salamanca;041. Recoletos;248;23;25;23;24;153;161;15;10;16;10;110;90;7;14;12;7;50;197;13;9;19;15;141;288;15;22;15;25;211;243;14;17;21;21;170;281;17;18;24;25;197
04. Salamanca;042. Goya;420;71;83;62;48;156;324;54;63;61;41;105;294;27;47;55;55;110;434;43;87;84;61;159;535;42;113;91;82;207;478;44;80;89;70;195;699;41;125;96;90;347
04. Salamanca;043. Fuente del Berro;301;46;72;65;52;66;239;47;59;54;37;42;194;27;43;58;29;37;287;52;56;64;58;57;330;48;68;97;50;67;255;47;64;60;36;48;339;54;66;87;69;63
04. Salamanca;044. Guindalera;593;81;124;89;91;208;444;56;91;82;77;138;512;42;83;99;57;231;560;63;112;117;59;209;614;95;137;122;66;194;555;79;117;109;70;180;586;69;138;97;71;211
04. Salamanca;045. Lista;336;32;60;98;33;113;182;29;38;32;24;59;169;15;36;43;18;57;279;35;55;54;32;103;305;43;53;70;48;91;247;27;40;46;48;86;375;34;74;64;69;134
04. Salamanca;046. Castellana;217;19;32;25;20;121;174;16;26;16;13;103;120;11;12;16;19;62;182;12;23;18;25;104;225;14;22;41;21;127;189;14;22;16;15;122;250;13;32;27;19;159
05. Chamartín;05. Chamartín;1.531;112;257;369;245;548;1.433;95;252;357;244;485;1.087;56;183;275;188;385;1.620;90;271;367;294;598;2.024;112;304;442;316;850;1.480;82;220;346;271;561;1.581;116;253;372;259;581
05. Chamartín;051. El Viso;190;8;10;31;19;122;173;2;25;25;28;93;165;4;17;22;26;96;211;6;18;32;38;117;220;7;23;28;28;134;184;4;12;29;23;116;206;6;26;28;27;119
05. Chamartín;052. Prosperidad;419;31;91;125;101;71;380;46;88;121;66;59;313;22;76;105;61;49;563;38;104;136;116;169;502;43;110;146;105;98;383;40;78;109;84;72;428;46;92;128;90;72
05. Chamartín;053. Ciudad Jardín;281;47;69;59;48;58;223;26;60;56;43;38;123;13;27;37;25;21;212;28;65;54;29;36;282;30;76;77;46;53;267;19;52;55;53;88;228;31;54;36;40;67
05. Chamartín;054. Hispanoamérica;297;9;43;78;36;131;315;6;44;72;56;137;217;4;31;51;44;87;289;7;41;69;53;119;339;18;45;84;58;134;311;8;50;81;61;111;320;9;36;92;48;135
05. Chamartín;055. Nueva España;202;15;27;44;16;100;217;13;27;46;31;100;156;9;22;38;16;71;193;10;27;32;30;94;480;10;29;54;40;347;186;7;17;26;21;115;224;17;20;39;30;118
05. Chamartín;056. Castilla;142;2;17;32;25;66;125;2;8;37;20;58;113;4;10;22;16;61;152;1;16;44;28;63;200;4;21;53;38;84;149;4;11;46;29;59;175;7;25;49;24;70
06. Tetuán;06. Tetuán;2.475;450;748;588;294;395;2.148;407;586;502;267;386;1.629;239;426;418;238;308;2.085;374;584;507;260;360;2.351;399;659;566;355;372;2.200;361;656;577;296;310;2.339;433;656;518;317;415
06. Tetuán;061. Bellas Vistas;463;121;168;98;39;37;337;87;109;82;29;30;223;50;72;53;23;25;351;93;110;72;46;30;423;113;121;95;51;43;230;67;63;49;30;21;419;117;134;93;34;41
06. Tetuán;062. Cuatro Caminos;484;88;105;88;54;149;511;90;98;92;73;158;347;62;66;76;59;84;462;89;74;99;49;151;460;66;98;107;67;122;416;75;80;69;60;132;464;68;101;79;68;148
06. Tetuán;063. Castillejos;282;40;61;62;37;82;272;34;65;66;38;69;179;24;38;39;25;53;299;37;64;65;42;91;366;42;74;81;61;108;289;36;73;77;33;70;322;48;57;70;47;100
06. Tetuán;064. Almenara;570;50;160;182;90;88;290;39;50;64;59;78;314;11;50;85;66;102;238;16;66;52;48;56;318;35;66;71;80;66;303;30;60;105;62;46;284;20;68;57;59;80
06. Tetuán;065. Valdeacederas;373;82;151;90;34;16;396;84;138;113;33;28;342;50;108;118;39;27;388;65;141;117;42;23;404;66;155;118;47;18;693;82;274;221;92;24;456;90;160;126;63;17
06. Tetuán;066. Berruguete;303;69;103;68;40;23;342;73;126;85;35;23;224;42;92;47;26;17;347;74;129;102;33;9;380;77;145;94;49;15;269;71;106;56;19;17;394;90;136;93;46;29
07. Chamberí;07. Chamberí;1.618;217;327;277;220;577;1.692;275;337;298;203;579;1.153;169;208;176;154;446;1.908;255;377;311;250;715;2.068;298;368;318;287;797;1.846;267;343;277;249;710;1.898;267;354;290;264;723
07. Chamberí;071. Gaztambide;313;48;61;47;39;118;273;40;50;51;40;92;235;38;38;33;29;97;294;39;56;49;51;99;362;53;73;40;56;140;260;39;57;30;42;92;367;71;70;53;31;142
07. Chamberí;072. Arapiles;366;41;118;82;43;82;293;47;87;60;36;63;224;23;70;46;25;60;325;46;84;62;45;88;334;52;99;63;36;84;312;44;79;62;39;88;279;30;88;55;43;63
07. Chamberí;073. Trafalgar;396;81;80;64;62;109;350;81;88;54;40;87;189;46;36;25;24;58;425;77;92;66;43;147;441;86;82;87;61;125;376;96;84;56;44;96;410;76;98;71;46;119
07. Chamberí;074. Almagro;253;21;30;36;28;138;245;29;22;30;17;147;157;18;16;16;16;91;280;25;39;34;28;154;297;20;26;36;37;178;310;21;42;35;21;191;304;30;27;41;44;162
07. Chamberí;075. Ríos Rosas;394;55;89;64;49;137;329;59;69;54;47;100;204;37;37;32;27;71;381;55;82;64;47;133;400;60;76;63;56;145;380;46;52;69;61;152;299;42;44;44;58;111
07. Chamberí;076. Vallehermoso;209;19;10;31;38;111;202;19;21;49;23;90;144;7;11;24;33;69;199;13;23;34;36;93;234;27;12;29;41;125;208;21;29;25;42;91;239;18;27;26;42;126
08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;2.270;50;359;472;440;949;2.092;56;400;368;341;927;1.569;59;300;288;223;699;2.431;43;561;531;408;888;2.537;56;577;501;430;973;2.033;66;486;391;379;711;2.154;84;466;497;372;735
08. Fuencarral-El Pardo;081. El Pardo;45;1;5;16;13;10;18;0;1;3;8;6;19;0;1;7;8;3;33;0;2;16;7;8;31;1;1;13;9;7;24;0;2;6;11;5;30;1;2;9;6;12
08. Fuencarral-El Pardo;082. Fuentelarreina;37;0;1;3;2;31;28;1;0;1;2;24;31;0;1;1;1;28;37;0;2;3;4;28;94;0;4;1;5;84;30;0;0;1;1;28;45;0;3;2;6;34
08. Fuencarral-El Pardo;083. Peñagrande;501;9;74;125;89;204;347;8;78;105;55;101;326;4;48;77;56;141;415;4;43;94;83;191;562;6;62;124;95;275;336;5;61;104;66;100;480;14;77;150;86;153
08. Fuencarral-El Pardo;084. Pilar;209;13;127;26;7;36;310;17;172;43;26;52;289;20;149;42;14;64;464;17;279;63;28;77;480;33;297;57;23;70;396;32;239;52;17;56;404;35;229;53;15;72
08. Fuencarral-El Pardo;085. La Paz;198;1;4;33;53;107;152;3;8;20;29;92;111;0;1;15;29;66;202;1;2;44;48;107;229;0;9;42;52;126;156;0;4;21;38;93;186;3;5;29;37;112
08. Fuencarral-El Pardo;086. Valverde;674;18;133;214;138;171;606;19;119;144;129;195;378;30;87;116;56;89;709;15;186;192;131;185;661;12;167;175;136;171;561;23;131;151;109;147;602;25;130;181;139;127
08. Fuencarral-El Pardo;087. Mirasierra;360;4;10;33;69;244;460;1;14;22;57;366;245;3;9;18;26;189;405;5;34;72;57;237;312;0;20;39;67;186;353;3;40;30;79;201;277;1;11;36;41;188
08. Fuencarral-El Pardo;088. El Goloso;246;4;5;22;69;146;171;7;8;30;35;91;170;2;4;12;33;119;157;1;12;45;46;53;167;4;17;50;42;54;177;3;9;26;58;81;129;4;9;37;42;37
09. Moncloa-Aravaca;09. Moncloa-Aravaca;1.606;62;281;433;195;635;1.023;50;151;222;134;466;938;32;119;226;131;430;1.276;42;201;319;181;533;1.186;69;186;304;158;469;1.075;69;188;240;131;447;1.327;82;204;304;168;569
09. Moncloa-Aravaca;091. Casa de Campo;119;6;12;40;22;39;108;9;12;26;30;31;88;5;14;25;22;22;126;7;13;43;26;37;130;10;10;30;37;43;95;10;15;21;17;32;121;10;15;33;24;39
09. Moncloa-Aravaca;092. Argüelles;361;30;73;79;46;133;235;25;40;37;25;108;189;12;24;37;23;93;379;18;65;90;66;140;359;36;61;67;47;148;333;37;61;59;38;138;357;27;58;58;46;168
09. Moncloa-Aravaca;093. Ciudad Universitaria;146;11;24;22;16;73;101;7;18;19;11;46;73;2;14;10;11;36;143;3;19;17;13;91;159;5;18;26;18;92;109;10;14;12;9;64;178;21;34;29;25;69
09. Moncloa-Aravaca;094. Valdezarza;326;12;62;142;42;68;294;7;56;125;41;65;264;7;37;118;36;66;311;9;76;155;40;31;351;17;83;172;38;41;241;5;63;119;36;18;296;18;60;153;36;29
09. Moncloa-Aravaca;095. Valdemarín;109;1;7;7;9;85;62;0;1;1;4;56;67;3;13;4;15;32;74;2;7;1;9;55;45;1;5;1;2;36;61;1;8;3;1;48;101;1;6;3;3;88
09. Moncloa-Aravaca;096. El Plantío;24;0;2;0;5;17;18;0;0;0;1;17;62;1;3;6;2;50;42;0;4;1;2;35;21;0;0;1;3;17;35;0;1;0;1;33;30;0;0;0;1;29
09. Moncloa-Aravaca;097. Aravaca;521;2;101;143;55;220;205;2;24;14;22;143;195;2;14;26;22;131;201;3;17;12;25;144;121;0;9;7;13;92;200;6;26;26;29;113;244;5;31;28;33;147
10. Latina;10. Latina;2.496;101;679;1.065;442;209;2.112;63;625;972;303;149;1.727;56;462;727;291;191;2.187;95;604;1.009;303;176;2.649;122;781;1.165;373;208;2.145;109;675;922;305;134;2.430;132;676;1.114;338;170
10. Latina;101. Los Cármenes;165;7;29;64;46;19;146;6;40;52;32;16;114;3;33;47;18;13;135;6;27;55;37;10;163;7;47;69;34;6;142;9;32;61;30;10;169;11;38;82;26;12
10. Latina;102. Puerta del Ángel;551;54;195;186;66;50;433;41;147;173;46;26;320;29;103;123;43;22;486;53;166;181;44;42;642;65;198;269;65;45;532;71;176;197;59;29;597;66;195;235;65;36
10. Latina;103. Lucero;426;18;137;169;74;28;377;10;120;159;62;26;312;9;90;114;48;51;389;18;134;147;51;39;405;18;135;159;68;25;396;12;139;159;62;24;383;17;114;176;55;21
10. Latina;104. Aluche;692;14;112;369;146;51;541;3;124;316;62;36;524;5;88;244;129;58;592;9;107;345;91;40;695;23;154;365;104;49;519;6;113;286;76;38;653;26;141;342;104;40
10. Latina;105. Campamento;207;2;85;45;36;39;185;1;86;49;26;23;151;5;70;40;11;25;164;2;76;46;17;23;239;4;118;43;20;54;147;4;77;25;21;20;202;5;94;45;21;37
10. Latina;106. Cuatro Vientos;31;0;7;16;6;2;28;0;14;7;3;4;29;0;11;7;6;5;35;0;9;13;7;6;41;0;14;14;6;7;30;0;14;10;4;2;28;0;9;10;4;5
10. Latina;107. Águilas;424;6;114;216;68;20;402;2;94;216;72;18;277;5;67;152;36;17;386;7;85;222;56;16;463;5;115;246;75;22;379;7;124;184;53;11;397;7;84;224;63;19
11. Carabanchel;11. Carabanchel;2.276;110;900;753;333;180;1.993;97;830;635;261;170;1.558;104;566;499;243;146;1.836;108;666;571;289;202;2.866;163;1.093;923;447;240;2.813;168;1.081;860;425;279;2.846;139;1.050;910;471;276
11. Carabanchel;111. Comillas;145;9;44;50;36;6;143;7;59;49;23;5;132;16;41;33;32;10;157;14;57;41;24;21;203;17;56;64;47;19;294;26;112;73;64;19;227;14;62;70;62;19
11. Carabanchel;112. Opañel;286;18;86;106;42;34;247;13;118;72;33;11;171;9;66;62;25;9;191;8;60;72;39;12;356;9;111;149;60;27;351;17;106;143;58;27;364;8;131;145;56;24
11. Carabanchel;113. San Isidro;451;24;195;138;61;33;378;27;147;123;50;31;346;45;131;102;45;23;377;39;130;129;47;32;564;59;205;157;100;43;427;25;165;131;73;33;385;40;157;110;47;31
11. Carabanchel;114. Vista Alegre;511;27;198;190;68;28;414;18;171;156;49;20;362;17;127;142;37;39;422;16;151;143;77;35;549;17;232;194;82;24;505;30;197;172;63;43;448;17;177;169;50;35
11. Carabanchel;115. Puerta Bonita;273;9;119;82;43;20;290;15;136;96;20;23;144;3;54;36;32;19;139;6;60;44;19;10;388;27;169;123;50;19;400;39;152;126;46;37;453;23;163;138;72;57
11. Carabanchel;116. Buenavista;428;19;183;134;56;36;360;12;140;81;57;70;311;10;107;92;65;37;445;24;173;107;62;79;563;31;222;152;75;83;519;26;219;113;70;91;644;35;255;158;124;72
11. Carabanchel;117. Abrantes;182;4;75;53;27;23;161;5;59;58;29;10;92;4;40;32;7;9;105;1;35;35;21;13;243;3;98;84;33;25;317;5;130;102;51;29;325;2;105;120;60;38
12. Usera;12. Usera;1.331;70;326;349;313;273;1.062;51;283;286;248;194;1.151;45;180;223;241;462;789;40;192;225;190;142;737;17;223;232;159;106;772;32;198;239;153;150;903;51;266;248;177;161
12. Usera;121. Orcasitas;191;1;1;22;71;96;132;1;5;10;53;63;100;0;2;8;38;52;95;1;0;8;40;46;89;0;0;15;34;40;122;0;0;19;33;70;149;1;0;33;36;79
12. Usera;122. Orcasur;132;3;8;40;18;63;122;1;6;33;29;53;74;3;1;24;12;34;75;2;9;14;21;29;20;1;4;7;3;5;12;1;3;3;3;2;40;5;9;9;11;6
12. Usera;123. San Fermín;222;6;44;70;80;22;189;7;35;62;59;26;155;10;26;58;36;25;165;3;38;49;57;18;209;2;61;48;69;29;187;3;37;69;55;23;221;8;57;53;73;30
12. Usera;124. Almendrales;211;21;78;54;23;35;173;6;66;53;24;24;532;9;44;41;104;334;141;15;44;43;14;25;84;5;10;37;13;19;135;13;31;42;19;30;122;13;31;46;14;18
12. Usera;125. Moscardó;241;4;58;109;42;28;174;10;67;69;21;7;127;5;44;58;15;5;160;11;39;76;22;12;202;4;73;90;28;7;176;6;61;73;30;6;189;8;83;70;19;9
12. Usera;126. Zofío;96;3;58;17;13;5;73;2;41;20;5;5;51;6;26;11;4;4;46;0;24;15;5;2;118;4;69;31;8;6;133;7;63;32;13;18;153;12;74;35;16;16
12. Usera;127. Pradolongo;238;32;79;37;66;24;193;24;63;39;53;14;112;12;37;23;32;8;97;8;35;20;28;6;15;1;6;4;4;0;7;2;3;1;0;1;29;4;12;2;8;3
13. Puente de Vallecas;13. Puente de Vallecas;2.693;322;949;677;463;282;2.359;305;865;555;387;247;1.786;256;662;415;292;161;2.504;344;861;613;408;278;3.336;459;1.221;843;504;309;2.695;368;935;664;465;263;2.528;328;932;624;408;236
13. Puente de Vallecas;131. Entrevías;409;39;83;113;116;58;295;24;76;72;65;58;230;24;55;66;56;29;382;32;97;112;90;51;448;36;117;121;109;65;403;43;90;112;104;54;328;26;74;101;92;35
13. Puente de Vallecas;132. San Diego;679;155;299;159;47;19;518;134;225;99;37;23;445;96;218;89;29;13;615;171;264;132;33;15;850;220;371;189;49;21;699;187;266;167;59;20;551;144;246;106;34;21
13. Puente de Vallecas;133. Palomeras Bajas;314;16;106;116;55;21;331;19;126;112;51;23;226;24;84;65;33;20;261;17;94;92;37;21;409;38;143;137;62;29;315;24;124;93;51;23;350;37;143;99;46;25
13. Puente de Vallecas;134. Palomeras Sureste;410;4;112;63;124;107;391;5;138;57;122;69;296;2;88;53;108;45;443;7;126;53;146;111;620;13;208;108;184;107;424;3;137;44;146;94;465;5;180;72;132;76
13. Puente de Vallecas;135. Portazgo;273;10;94;81;67;21;284;9;95;93;63;24;175;4;70;54;32;15;180;9;48;70;44;9;298;11;110;99;59;19;308;15;105;110;55;23;297;23;97;91;57;29
13. Puente de Vallecas;136. Numancia;608;98;255;145;54;56;540;114;205;122;49;50;414;106;147;88;34;39;623;108;232;154;58;71;711;141;272;189;41;68;0;0;0;0;0;0;..;..;..;..;..;..
14. Moratalaz;14. Moratalaz;728;6;240;227;174;81;664;3;235;163;195;68;534;0;177;144;162;51;826;3;243;213;249;118;954;0;300;262;280;112;701;1;224;188;215;73;751;6;210;213;222;100
