E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.1. Transacciones de vivienda por Distrito y Barrio según Tipo
;;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024
;;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas
Ciudad de Madrid;Ciudad de Madrid;38.330;8.362;7.412;950;29.968;34.754;7.175;6.414;761;27.579;25.332;6.070;5.287;783;19.262;35.436;7.668;6.371;1.297;27.768;40.723;6.700;6.003;697;34.023;35.035;6.334;5.847;487;28.701;37.479;6.533;6.137;396;30.946
04. Salamanca;042. Goya;420;1;1;0;419;324;2;2;0;322;294;0;0;0;294;434;15;15;0;419;535;27;27;0;508;478;4;4;0;474;699;5;5;0;694
04. Salamanca;043. Fuente del Berro;301;0;0;0;301;239;0;0;0;239;194;0;0;0;194;287;15;15;0;272;330;4;4;0;326;255;1;1;0;254;339;13;13;0;326
04. Salamanca;044. Guindalera;593;8;8;0;585;444;20;20;0;424;512;64;64;0;448;560;64;64;0;496;614;51;51;0;563;555;71;71;0;484;586;30;30;0;556
04. Salamanca;045. Lista;336;2;2;0;334;182;7;7;0;175;169;6;6;0;163;279;8;8;0;271;305;1;1;0;304;247;2;2;0;245;375;0;0;0;375
04. Salamanca;046. Castellana;217;0;0;0;217;174;25;25;0;149;120;4;4;0;116;182;1;1;0;181;225;9;9;0;216;189;3;3;0;186;250;0;0;0;250
05. Chamartín;05. Chamartín;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.480;143;143;0;1.337;1.581;97;95;2;1.484
05. Chamartín;051. El Viso;190;5;5;0;185;173;14;14;0;159;165;22;22;0;143;211;9;9;0;202;220;7;7;0;213;184;6;6;0;178;206;1;1;0;205
05. Chamartín;052. Prosperidad;419;155;153;2;264;380;82;82;0;298;313;45;45;0;268;563;144;144;0;419;502;89;89;0;413;383;43;43;0;340;428;40;40;0;388
05. Chamartín;053. Ciudad Jardín;281;9;9;0;272;223;1;1;0;222;123;0;0;0;123;212;0;0;0;212;282;8;8;0;274;267;52;52;0;215;228;21;21;0;207
05. Chamartín;054. Hispanoamérica;297;6;5;1;291;315;6;6;0;309;217;6;6;0;211;289;9;9;0;280;339;10;9;1;329;311;12;12;0;299;320;10;10;0;310
